starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 14 11:37:32 2012	1342246052	0	10	10	10
Sat Jul 14 11:37:32 2012	1342246052	0	10	10	10
Sat Jul 14 11:37:32 2012	1342246052	0	11	11	11
Sat Jul 14 11:37:32 2012	1342246052	0	11	11	11
Sat Jul 14 11:37:32 2012	1342246052	1	11	12	11
Sat Jul 14 11:37:32 2012	1342246052	0	13	13	12
Sat Jul 14 11:37:32 2012	1342246052	0	13	13	12
Sat Jul 14 11:37:32 2012	1342246052	0	15	15	15
Sat Jul 14 11:37:32 2012	1342246052	0	48	48	48
Sat Jul 14 11:37:32 2012	1342246052	0	562	562	562
