starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 14 09:18:45 2012	1342237725	0	6	6	6
Sat Jul 14 09:21:35 2012	1342237895	0	6	6	6
Sat Jul 14 09:18:50 2012	1342237730	0	6	6	6
Sat Jul 14 09:19:40 2012	1342237780	0	6	6	6
Sat Jul 14 09:20:01 2012	1342237801	0	6	6	6
Sat Jul 14 09:18:45 2012	1342237725	0	6	6	6
Sat Jul 14 09:20:36 2012	1342237836	0	6	6	6
Sat Jul 14 09:22:44 2012	1342237964	0	6	6	6
Sat Jul 14 09:20:05 2012	1342237805	0	6	6	6
Sat Jul 14 09:20:20 2012	1342237820	0	6	6	6
Sat Jul 14 09:18:47 2012	1342237727	0	6	6	6
Sat Jul 14 09:18:48 2012	1342237728	0	6	6	6
Sat Jul 14 09:18:53 2012	1342237733	0	6	6	6
Sat Jul 14 09:18:34 2012	1342237714	0	6	6	6
Sat Jul 14 09:19:33 2012	1342237773	0	6	6	6
Sat Jul 14 09:22:15 2012	1342237935	0	6	6	6
Sat Jul 14 09:20:31 2012	1342237831	0	6	6	6
Sat Jul 14 09:21:52 2012	1342237912	0	6	6	6
Sat Jul 14 09:18:54 2012	1342237734	0	6	6	6
Sat Jul 14 09:17:08 2012	1342237628	0	6	6	6
Sat Jul 14 09:20:21 2012	1342237821	0	6	6	6
Sat Jul 14 09:20:35 2012	1342237835	0	6	6	6
Sat Jul 14 09:21:51 2012	1342237911	0	6	6	6
Sat Jul 14 09:19:22 2012	1342237762	0	6	6	6
Sat Jul 14 09:20:26 2012	1342237826	0	6	6	6
Sat Jul 14 09:19:22 2012	1342237762	0	6	6	6
Sat Jul 14 09:20:22 2012	1342237822	0	6	6	6
Sat Jul 14 09:21:26 2012	1342237886	0	6	6	6
Sat Jul 14 09:18:36 2012	1342237716	0	6	6	6
Sat Jul 14 09:18:41 2012	1342237721	0	6	6	6
Sat Jul 14 09:19:36 2012	1342237776	0	6	6	6
Sat Jul 14 09:20:28 2012	1342237828	0	6	6	6
Sat Jul 14 09:20:41 2012	1342237841	0	6	6	6
Sat Jul 14 09:18:57 2012	1342237737	0	6	6	6
Sat Jul 14 09:19:00 2012	1342237740	0	6	6	6
Sat Jul 14 09:20:22 2012	1342237822	0	6	6	6
Sat Jul 14 09:22:20 2012	1342237940	0	6	6	6
Sat Jul 14 09:21:51 2012	1342237911	0	6	6	6
Sat Jul 14 09:20:37 2012	1342237837	0	6	6	6
Sat Jul 14 09:17:47 2012	1342237667	0	6	6	6
Sat Jul 14 09:16:49 2012	1342237609	0	6	6	6
Sat Jul 14 09:20:50 2012	1342237850	0	6	6	6
Sat Jul 14 09:22:37 2012	1342237957	0	6	6	6
Sat Jul 14 09:16:44 2012	1342237604	0	6	6	6
Sat Jul 14 09:18:51 2012	1342237731	0	6	6	6
Sat Jul 14 09:19:19 2012	1342237759	0	6	6	6
Sat Jul 14 09:20:17 2012	1342237817	0	6	6	6
Sat Jul 14 09:17:02 2012	1342237622	0	6	6	6
Sat Jul 14 09:20:18 2012	1342237818	0	6	6	6
Sat Jul 14 09:21:24 2012	1342237884	0	6	6	6
Sat Jul 14 09:18:36 2012	1342237716	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:20:32 2012	1342237832	0	6	6	6
Sat Jul 14 09:20:57 2012	1342237857	0	6	6	6
Sat Jul 14 09:18:38 2012	1342237718	0	6	6	6
Sat Jul 14 09:18:58 2012	1342237738	0	6	6	6
Sat Jul 14 09:17:20 2012	1342237640	0	6	6	6
Sat Jul 14 09:18:56 2012	1342237736	0	6	6	6
Sat Jul 14 09:22:21 2012	1342237941	0	6	6	6
Sat Jul 14 09:19:42 2012	1342237782	0	6	6	6
Sat Jul 14 09:17:14 2012	1342237634	0	6	6	6
Sat Jul 14 09:17:56 2012	1342237676	0	6	6	6
Sat Jul 14 09:17:21 2012	1342237641	0	6	6	6
Sat Jul 14 09:16:50 2012	1342237610	0	6	6	6
Sat Jul 14 09:20:28 2012	1342237828	0	6	6	6
Sat Jul 14 09:20:34 2012	1342237834	0	6	6	6
Sat Jul 14 09:21:19 2012	1342237879	0	6	6	6
Sat Jul 14 09:20:37 2012	1342237837	0	6	6	6
Sat Jul 14 09:19:38 2012	1342237778	0	6	6	6
Sat Jul 14 09:20:33 2012	1342237833	0	6	6	6
Sat Jul 14 09:18:55 2012	1342237735	0	6	6	6
Sat Jul 14 09:16:41 2012	1342237601	0	6	6	6
Sat Jul 14 09:22:18 2012	1342237938	0	6	6	6
Sat Jul 14 09:18:55 2012	1342237735	0	6	6	6
Sat Jul 14 09:18:36 2012	1342237716	0	6	6	6
Sat Jul 14 09:20:20 2012	1342237820	0	6	6	6
Sat Jul 14 09:18:50 2012	1342237730	0	6	6	6
Sat Jul 14 09:19:17 2012	1342237757	0	6	6	6
Sat Jul 14 09:18:14 2012	1342237694	0	6	6	6
Sat Jul 14 09:20:50 2012	1342237850	0	6	6	6
Sat Jul 14 09:22:44 2012	1342237964	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:20:03 2012	1342237803	0	6	6	6
Sat Jul 14 09:18:16 2012	1342237696	0	6	6	6
Sat Jul 14 09:19:40 2012	1342237780	0	6	6	6
Sat Jul 14 09:19:21 2012	1342237761	0	6	6	6
Sat Jul 14 09:21:32 2012	1342237892	0	6	6	6
Sat Jul 14 09:18:51 2012	1342237731	0	6	6	6
Sat Jul 14 09:16:51 2012	1342237611	0	6	6	6
Sat Jul 14 09:20:22 2012	1342237822	0	6	6	6
Sat Jul 14 09:20:32 2012	1342237832	0	6	6	6
